episode,reward,length,crash_rate,difficulty,reward_smoothed,reward_std,length_smoothed
75,64.1071,509.0,1.0,0.0,35.83638,18.476840564266748,311.8
76,52.2153,438.0,1.0,0.0,37.7457,19.13980555735437,327.8
77,34.3142,287.0,1.0,0.0,37.255129999999994,19.160679494796973,327.4
78,14.9728,206.0,1.0,0.0,32.534389999999995,18.12479579216457,299.6
79,38.6862,339.0,1.0,0.0,31.99171,17.81824764887264,297.8
80,19.9242,202.0,1.0,0.0,31.418599999999998,18.134067689419386,290.7
81,31.5886,268.0,1.0,0.0,33.60469,16.469984689289916,304.4
82,25.7985,244.0,1.0,0.0,34.80754,15.25485989842071,312.3
83,58.6395,498.0,1.0,0.0,36.33266,16.88348871203263,326.4
84,65.0849,547.0,1.0,0.0,40.53313,18.379015348310812,353.8
85,144.0131,1000.0,0.0,0.0,48.52373,37.34816534628501,402.9
86,38.813,336.0,1.0,0.0,47.183499999999995,37.441328199583,392.7
87,62.4199,555.0,1.0,0.0,49.99407,37.42282945737357,419.5
88,29.3272,268.0,1.0,0.0,51.42951000000001,36.185077901454534,425.7
89,93.5038,689.0,1.0,0.0,56.91127,38.139503823144665,460.7
90,35.4924,329.0,1.0,0.0,58.468090000000004,36.75456664997789,473.4
91,21.203,209.0,1.0,0.0,57.42953,37.732210536830024,467.5
92,18.8588,205.0,1.0,0.0,56.73556,38.435863776518815,463.6
93,40.3541,364.0,1.0,0.0,54.90702,38.76873350339592,450.2
94,101.4457,783.0,1.0,0.0,58.5431,41.44230392874197,473.8
95,59.4695,472.0,1.0,0.0,50.08874,28.748248799156823,421.0
96,50.3793,400.0,1.0,0.0,51.24537,28.475565479042235,427.4
97,92.3875,666.0,1.0,0.0,54.242129999999996,31.226270100315997,438.5
98,11.1728,172.0,1.0,0.0,52.426689999999994,33.29493575974347,428.9
99,44.5321,356.0,1.0,0.0,47.529520000000005,30.022487072999866,395.6
100,15.9835,182.0,1.0,0.0,45.57863,31.489587295663654,380.9
101,26.3285,261.0,1.0,0.0,46.09118,31.087897010029835,386.1
102,10.2763,154.0,1.0,0.0,45.232929999999996,32.02751116510963,381.0
103,15.2385,166.0,1.0,0.0,42.72137,33.407645092105945,361.2
104,9.0312,132.0,1.0,0.0,33.47992000000001,27.642707286322963,296.1
105,128.9009,906.0,1.0,0.0,40.42306,40.58558394860585,339.5
106,9.1314,161.0,1.0,0.0,36.29827,41.545970476116366,315.6
107,93.8872,664.0,1.0,0.0,36.448240000000006,41.773020521974864,315.4
108,10.486,152.0,1.0,0.0,36.379560000000005,41.81973226568742,313.4
109,17.8513,186.0,1.0,0.0,33.71148,42.092036805969734,296.4
